type,sub_rank,title,url,cite,details,cmpt_rank,qry,lang,serp_id,serp_rank
general,0,Exercises,https://www8.cs.umu.se/kurser/TDBAfl/VT06/algorithms/BOOK/BOOK3/NODE102.HTM,www8.cs.umu.se › BOOK › BOOK3 › NODE102,,4,"Multisets are allowed to have repeated elements. A multiset of n items may thus have fewer than n! distinct permutations. For example, {1, 1, 2, 2} has only six different permutations: {1, 1, 2, 2}, {1, 2, 1, 2}, {1, 2, 2, 1}, {2, 1, 1, 2}, {2, 1, 2, 1}, and {2, 2, 1, 1}. Design and implement an efficient algorithm for constructing all permutations of a multiset.",en,,4
general,0,Dynamic Programming - Stony Brook Computer Science,https://www3.cs.stonybrook.edu/~algorith/video-lectures/2007/lecture16.pdf,www3.cs.stonybrook.edu › video-lectures › lecture16,,5,"Multisets are allowed to have repeated elements. A multiset of n items may thus have fewer than n! distinct permutations. For example, {1, 1, 2, 2} has only six different permutations: {1, 1, 2, 2}, {1, 2, 1, 2}, {1, 2, 2, 1}, {2, 1, 1, 2}, {2, 1, 2, 1}, and {2, 2, 1, 1}. Design and implement an efficient algorithm for constructing all permutations of a multiset.",en,,5
general,0,"Lecture Slides - Computer Science, Stony Brook University",https://www3.cs.stonybrook.edu/~skiena/373/videos/pdf/L16.pdf,www3.cs.stonybrook.edu › ~skiena › videos › pdf,,6,"Multisets are allowed to have repeated elements. A multiset of n items may thus have fewer than n! distinct permutations. For example, {1, 1, 2, 2} has only six different permutations: {1, 1, 2, 2}, {1, 2, 1, 2}, {1, 2, 2, 1}, {2, 1, 1, 2}, {2, 1, 2, 1}, and {2, 2, 1, 1}. Design and implement an efficient algorithm for constructing all permutations of a multiset.",en,,6
general,0,A Two Level Approach to O(1) Time Generation of Multiset ...,https://arxiv.org/pdf/1502.06062,arxiv.org › pdf,,7,"Multisets are allowed to have repeated elements. A multiset of n items may thus have fewer than n! distinct permutations. For example, {1, 1, 2, 2} has only six different permutations: {1, 1, 2, 2}, {1, 2, 1, 2}, {1, 2, 2, 1}, {2, 1, 1, 2}, {2, 1, 2, 1}, and {2, 2, 1, 1}. Design and implement an efficient algorithm for constructing all permutations of a multiset.",en,,7
general,0,Dynamic Programming in JavaScript Part 1 - The Basics ...,https://www.adamconrad.dev/blog/dynamic-programming-part-1,www.adamconrad.dev › blog › dynamic-programming...,,8,"Multisets are allowed to have repeated elements. A multiset of n items may thus have fewer than n! distinct permutations. For example, {1, 1, 2, 2} has only six different permutations: {1, 1, 2, 2}, {1, 2, 1, 2}, {1, 2, 2, 1}, {2, 1, 1, 2}, {2, 1, 2, 1}, and {2, 2, 1, 1}. Design and implement an efficient algorithm for constructing all permutations of a multiset.",en,,8
general,0,1 Basics of combinatorics: counting and permutations,http://research.cs.queensu.ca/home/cisc203/moni/kombinatoriikka.pdf,research.cs.queensu.ca › home › moni › kombinatoriikka,,9,"Multisets are allowed to have repeated elements. A multiset of n items may thus have fewer than n! distinct permutations. For example, {1, 1, 2, 2} has only six different permutations: {1, 1, 2, 2}, {1, 2, 1, 2}, {1, 2, 2, 1}, {2, 1, 1, 2}, {2, 1, 2, 1}, and {2, 2, 1, 1}. Design and implement an efficient algorithm for constructing all permutations of a multiset.",en,,9
searches_related,0,,,,"[{'text': 'k-permutation of a multiset', 'url': '/search?q=k-permutation+of+a+multiset&sa=X&ved=2ahUKEwj1oJiFt-rsAhUHkXIEHVHnDqYQ1QIoAHoECA4QAQ'}, {'text': 'multiset permutations python', 'url': '/search?q=multiset+permutations+python&sa=X&ved=2ahUKEwj1oJiFt-rsAhUHkXIEHVHnDqYQ1QIoAXoECA4QAg'}, {'text': 'python permutations', 'url': '/search?q=python+permutations&sa=X&ved=2ahUKEwj1oJiFt-rsAhUHkXIEHVHnDqYQ1QIoAnoECA4QAw'}, {'text': 'print all permutations of a string without duplicates', 'url': '/search?q=print+all+permutations+of+a+string+without+duplicates&sa=X&ved=2ahUKEwj1oJiFt-rsAhUHkXIEHVHnDqYQ1QIoA3oECA4QBA'}, {'text': 'all possible permutations', 'url': '/search?q=all+possible+permutations&sa=X&ved=2ahUKEwj1oJiFt-rsAhUHkXIEHVHnDqYQ1QIoBHoECA4QBQ'}, {'text': 'distinct permutations of a string formula', 'url': '/search?q=distinct+permutations+of+a+string+formula&sa=X&ved=2ahUKEwj1oJiFt-rsAhUHkXIEHVHnDqYQ1QIoBXoECA4QBg'}, {'text': 'number of permutations of a set', 'url': '/search?q=number+of+permutations+of+a+set&sa=X&ved=2ahUKEwj1oJiFt-rsAhUHkXIEHVHnDqYQ1QIoBnoECA4QBw'}, {'text': 'sympy multiset', 'url': '/search?q=sympy+multiset&sa=X&ved=2ahUKEwj1oJiFt-rsAhUHkXIEHVHnDqYQ1QIoB3oECA4QCA'}]",10,"Multisets are allowed to have repeated elements. A multiset of n items may thus have fewer than n! distinct permutations. For example, {1, 1, 2, 2} has only six different permutations: {1, 1, 2, 2}, {1, 2, 1, 2}, {1, 2, 2, 1}, {2, 1, 1, 2}, {2, 1, 2, 1}, and {2, 2, 1, 1}. Design and implement an efficient algorithm for constructing all permutations of a multiset.",en,,10
type,sub_rank,title,url,cite,details,cmpt_rank,qry,lang,serp_id,serp_rank
general,0,Search-TADM2E - Algorithm Wiki - The Algorithm Design ...,https://www.algorist.com/algowiki/index.php/Search-TADM2E,www.algorist.com › algowiki › index.php,,0,"Design and implement an algorithm for testing whether two graphs are isomorphic to each other. The graph isomorphism problem is discussed in Section 16.9 (page 550). With proper pruning, graphs on hundreds of vertices can be tested reliably.",en,,0
general,0,2.1 Graph Isomorphism 2.2 Automorphisms and Symmetry 2.3 ...,http://www.cs.columbia.edu/~cs4203/files/GT-Lec2.pdf,www.cs.columbia.edu › files › GT-Lec2,,1,"Design and implement an algorithm for testing whether two graphs are isomorphic to each other. The graph isomorphism problem is discussed in Section 16.9 (page 550). With proper pruning, graphs on hundreds of vertices can be tested reliably.",en,,1
general,0,Mathematics | Graph Isomorphisms and Connectivity ...,https://www.geeksforgeeks.org/mathematics-graph-isomorphisms-connectivity/,www.geeksforgeeks.org › mathematics-graph-isomorph...,,2,"Design and implement an algorithm for testing whether two graphs are isomorphic to each other. The graph isomorphism problem is discussed in Section 16.9 (page 550). With proper pruning, graphs on hundreds of vertices can be tested reliably.",en,,2
general,0,,,,,3,"Design and implement an algorithm for testing whether two graphs are isomorphic to each other. The graph isomorphism problem is discussed in Section 16.9 (page 550). With proper pruning, graphs on hundreds of vertices can be tested reliably.",en,,3
general,0,The Graph Isomorphism Problem | November 2020 ...,https://m-cacm.acm.org/magazines/2020/11/248220-the-graph-isomorphism-problem/fulltext,m-cacm.acm.org › magazines › 2020/11 › fulltext,,4,"Design and implement an algorithm for testing whether two graphs are isomorphic to each other. The graph isomorphism problem is discussed in Section 16.9 (page 550). With proper pruning, graphs on hundreds of vertices can be tested reliably.",en,,4
general,0,Solving Graph Isomorphism using Parameterized ... - Microsoft,https://www.microsoft.com/en-us/research/wp-content/uploads/2016/02/samehe-graphisomorphism.spire2013.pdf,www.microsoft.com › wp-content › uploads › 2016/02,,5,"Design and implement an algorithm for testing whether two graphs are isomorphic to each other. The graph isomorphism problem is discussed in Section 16.9 (page 550). With proper pruning, graphs on hundreds of vertices can be tested reliably.",en,,5
general,0,Graph isomorphism - Wikipedia,https://en.wikipedia.org/wiki/Graph_isomorphism,en.wikipedia.org › wiki › Graph_isomorphism,,6,"Design and implement an algorithm for testing whether two graphs are isomorphic to each other. The graph isomorphism problem is discussed in Section 16.9 (page 550). With proper pruning, graphs on hundreds of vertices can be tested reliably.",en,,6
general,0,The Algorithm Design Manual - Page 270 - Google Books Result,"https://books.google.com/books?id=7XUSn0IKQEgC&pg=PA270&lpg=PA270&dq=Design+and+implement+an+algorithm+for+testing+whether+two+graphs+are+isomorphic+to+each+other.+The+graph+isomorphism+problem+is+discussed+in+Section+16.9+(page+550).+With+proper+pruning,+graphs+on+hundreds+of+vertices+can+be+tested+reliably.&source=bl&ots=za5GPSLU0l&sig=ACfU3U1gW6dZFOE1_pkHIHzRsv43wv5leA&hl=en&sa=X&ved=2ahUKEwjBl8aFt-rsAhX9mnIEHaSyA9YQ6AEwDnoECBoQAg",books.google.com › books,,7,"Design and implement an algorithm for testing whether two graphs are isomorphic to each other. The graph isomorphism problem is discussed in Section 16.9 (page 550). With proper pruning, graphs on hundreds of vertices can be tested reliably.",en,,7
general,0,Use of Eigenvector Centrality to Detect Graph Isomorphism,https://arxiv.org/pdf/1511.06620,arxiv.org › pdf,,8,"Design and implement an algorithm for testing whether two graphs are isomorphic to each other. The graph isomorphism problem is discussed in Section 16.9 (page 550). With proper pruning, graphs on hundreds of vertices can be tested reliably.",en,,8
general,0,Linear Programming Heuristics for the Graph Isomorphism ...,https://web.stanford.edu/~boyd/papers/pdf/graph_isom.pdf,web.stanford.edu › ~boyd › papers › pdf › graph_isom,,9,"Design and implement an algorithm for testing whether two graphs are isomorphic to each other. The graph isomorphism problem is discussed in Section 16.9 (page 550). With proper pruning, graphs on hundreds of vertices can be tested reliably.",en,,9
images,0,,https://www.mdpi.com/1099-4300/21/6/569/htm,,,10,"Design and implement an algorithm for testing whether two graphs are isomorphic to each other. The graph isomorphism problem is discussed in Section 16.9 (page 550). With proper pruning, graphs on hundreds of vertices can be tested reliably.",en,,10
images,1,,https://www.mdpi.com/1099-4300/21/6/569/htm,,,10,"Design and implement an algorithm for testing whether two graphs are isomorphic to each other. The graph isomorphism problem is discussed in Section 16.9 (page 550). With proper pruning, graphs on hundreds of vertices can be tested reliably.",en,,11
images,2,,https://m-cacm.acm.org/magazines/2020/11/248220-the-graph-isomorphism-problem/fulltext,,,10,"Design and implement an algorithm for testing whether two graphs are isomorphic to each other. The graph isomorphism problem is discussed in Section 16.9 (page 550). With proper pruning, graphs on hundreds of vertices can be tested reliably.",en,,12
images,3,,https://www.quantamagazine.org/algorithm-solves-graph-isomorphism-in-record-time-20151214/,,,10,"Design and implement an algorithm for testing whether two graphs are isomorphic to each other. The graph isomorphism problem is discussed in Section 16.9 (page 550). With proper pruning, graphs on hundreds of vertices can be tested reliably.",en,,13
images,4,,https://www.geeksforgeeks.org/mathematics-graph-isomorphisms-connectivity/,,,10,"Design and implement an algorithm for testing whether two graphs are isomorphic to each other. The graph isomorphism problem is discussed in Section 16.9 (page 550). With proper pruning, graphs on hundreds of vertices can be tested reliably.",en,,14
images,5,,https://en.wikipedia.org/wiki/Graph_isomorphism,,,10,"Design and implement an algorithm for testing whether two graphs are isomorphic to each other. The graph isomorphism problem is discussed in Section 16.9 (page 550). With proper pruning, graphs on hundreds of vertices can be tested reliably.",en,,15
images,6,,https://link.springer.com/10.1007/978-1-4939-2864-4_172,,,10,"Design and implement an algorithm for testing whether two graphs are isomorphic to each other. The graph isomorphism problem is discussed in Section 16.9 (page 550). With proper pruning, graphs on hundreds of vertices can be tested reliably.",en,,16
images,7,,https://m-cacm.acm.org/magazines/2020/11/248220-the-graph-isomorphism-problem/fulltext,,,10,"Design and implement an algorithm for testing whether two graphs are isomorphic to each other. The graph isomorphism problem is discussed in Section 16.9 (page 550). With proper pruning, graphs on hundreds of vertices can be tested reliably.",en,,17
images,8,,https://www.geeksforgeeks.org/mathematics-graph-isomorphisms-connectivity/,,,10,"Design and implement an algorithm for testing whether two graphs are isomorphic to each other. The graph isomorphism problem is discussed in Section 16.9 (page 550). With proper pruning, graphs on hundreds of vertices can be tested reliably.",en,,18
images,9,,https://www.mdpi.com/1099-4300/21/6/569/htm,,,10,"Design and implement an algorithm for testing whether two graphs are isomorphic to each other. The graph isomorphism problem is discussed in Section 16.9 (page 550). With proper pruning, graphs on hundreds of vertices can be tested reliably.",en,,19
searches_related,0,,,,"[{'text': 'how to prove two graphs are isomorphic', 'url': '/search?q=how+to+prove+two+graphs+are+isomorphic&sa=X&ved=2ahUKEwjBl8aFt-rsAhX9mnIEHaSyA9YQ1QIoAHoECBAQAQ'}, {'text': 'isomorphic graph examples pdf', 'url': '/search?q=isomorphic+graph+examples+pdf&sa=X&ved=2ahUKEwjBl8aFt-rsAhX9mnIEHaSyA9YQ1QIoAXoECBAQAg'}, {'text': 'isomorphic graph questions', 'url': '/search?q=isomorphic+graph+questions&sa=X&ved=2ahUKEwjBl8aFt-rsAhX9mnIEHaSyA9YQ1QIoAnoECBAQAw'}, {'text': 'how to check if two graphs are isomorphic', 'url': '/search?q=how+to+check+if+two+graphs+are+isomorphic&sa=X&ved=2ahUKEwjBl8aFt-rsAhX9mnIEHaSyA9YQ1QIoA3oECBAQBA'}, {'text': 'isomorphic graph examples ppt', 'url': '/search?q=isomorphic+graph+examples+ppt&sa=X&ved=2ahUKEwjBl8aFt-rsAhX9mnIEHaSyA9YQ1QIoBHoECBAQBQ'}, {'text': 'isomorphic graph conditions', 'url': '/search?q=isomorphic+graph+conditions&sa=X&ved=2ahUKEwjBl8aFt-rsAhX9mnIEHaSyA9YQ1QIoBXoECBAQBg'}, {'text': 'isomorphic graph problems', 'url': '/search?q=isomorphic+graph+problems&sa=X&ved=2ahUKEwjBl8aFt-rsAhX9mnIEHaSyA9YQ1QIoBnoECBAQBw'}, {'text': 'automorphism group of a graph pdf', 'url': '/search?q=automorphism+group+of+a+graph+pdf&sa=X&ved=2ahUKEwjBl8aFt-rsAhX9mnIEHaSyA9YQ1QIoB3oECBAQCA'}]",11,"Design and implement an algorithm for testing whether two graphs are isomorphic to each other. The graph isomorphism problem is discussed in Section 16.9 (page 550). With proper pruning, graphs on hundreds of vertices can be tested reliably.",en,,20
type,sub_rank,title,url,cite,details,cmpt_rank,qry,lang,serp_id,serp_rank
general,0,Solved: Anagrams Are Rearrangements Of The Letters Of A ...,https://www.chegg.com/homework-help/questions-and-answers/anagrams-rearrangements-letters-word-phrase-different-word-phrase-sometimes-results-quite--q30113540,https://www.chegg.com › questions-and-answers › anagr...,,0,"Anagrams are rearrangements of the letters of a word or phrase into a different word or phrase. Sometimes the results are quite striking. For example, “MANY VOTED BUSH RETIRED” is an anagram of “TUESDAY NOVEMBER THIRD,” which correctly predicted the result of the 1992 U.S. presidential election. Design and implement an algorithm for finding anagrams using combinatorial search and a dictionary.",en,,0
general,0,Anagrams Are Rearrangements Of The Letters Of A ... - Chegg,https://www.chegg.com/homework-help/questions-and-answers/anagrams-rearrangements-letters-word-phrase-different-word-phrase-sometimes-results-quite--q5308200,https://www.chegg.com › questions-and-answers › anagr...,,1,"Anagrams are rearrangements of the letters of a word or phrase into a different word or phrase. Sometimes the results are quite striking. For example, “MANY VOTED BUSH RETIRED” is an anagram of “TUESDAY NOVEMBER THIRD,” which correctly predicted the result of the 1992 U.S. presidential election. Design and implement an algorithm for finding anagrams using combinatorial search and a dictionary.",en,,1
general,0,anagram – panictank,http://blog.panictank.net/tag/anagram/,http://blog.panictank.net › tag › anagram,,2,"Anagrams are rearrangements of the letters of a word or phrase into a different word or phrase. Sometimes the results are quite striking. For example, “MANY VOTED BUSH RETIRED” is an anagram of “TUESDAY NOVEMBER THIRD,” which correctly predicted the result of the 1992 U.S. presidential election. Design and implement an algorithm for finding anagrams using combinatorial search and a dictionary.",en,,2
general,0,Implementation Challenges,https://www8.cs.umu.se/kurser/TDBAfl/VT06/algorithms/BOOK/BOOK3/NODE103.HTM,https://www8.cs.umu.se › BOOK › BOOK3 › NODE103,,3,"Anagrams are rearrangements of the letters of a word or phrase into a different word or phrase. Sometimes the results are quite striking. For example, “MANY VOTED BUSH RETIRED” is an anagram of “TUESDAY NOVEMBER THIRD,” which correctly predicted the result of the 1992 U.S. presidential election. Design and implement an algorithm for finding anagrams using combinatorial search and a dictionary.",en,,3
general,0,Search-TADM2E - Algorithm Wiki - The Algorithm Design ...,https://www.algorist.com/algowiki/index.php/Search-TADM2E,https://www.algorist.com › algowiki › index.php,,4,"Anagrams are rearrangements of the letters of a word or phrase into a different word or phrase. Sometimes the results are quite striking. For example, “MANY VOTED BUSH RETIRED” is an anagram of “TUESDAY NOVEMBER THIRD,” which correctly predicted the result of the 1992 U.S. presidential election. Design and implement an algorithm for finding anagrams using combinatorial search and a dictionary.",en,,4
general,0,Finding anagrams using combinatorial search - Expertsmind.com,http://www.expertsmind.com/library/finding-anagrams-using-combinatorial-search-51361609.aspx,http://www.expertsmind.com › library › finding-anagra...,,5,"Anagrams are rearrangements of the letters of a word or phrase into a different word or phrase. Sometimes the results are quite striking. For example, “MANY VOTED BUSH RETIRED” is an anagram of “TUESDAY NOVEMBER THIRD,” which correctly predicted the result of the 1992 U.S. presidential election. Design and implement an algorithm for finding anagrams using combinatorial search and a dictionary.",en,,5
general,0,The Algorithm Design Manual - Page 270 - Google Books Result,"https://books.google.com/books?id=7XUSn0IKQEgC&pg=PA270&lpg=PA270&dq=Anagrams+are+rearrangements+of+the+letters+of+a+word+or+phrase+into+a+different+word+or+phrase.+Sometimes+the+results+are+quite+striking.+For+example,+%E2%80%9CMANY+VOTED+BUSH+RETIRED%E2%80%9D+is+an+anagram+of+%E2%80%9CTUESDAY+NOVEMBER+THIRD,%E2%80%9D+which+correctly+predicted+the+result+of+the+1992+U.S.+presidential+election.+Design+and+implement+an+algorithm+for+finding+anagrams+using+combinatorial+search+and+a+dictionary.&source=bl&ots=za5GPSLU0m&sig=ACfU3U19I3SlHoXxsxnmfnrq5HqEhgfdog&hl=en&sa=X&ved=2ahUKEwj4qPaFt-rsAhUdmXIEHQdYBXQQ6AEwBnoECAgQAg",https://books.google.com › books,,6,"Anagrams are rearrangements of the letters of a word or phrase into a different word or phrase. Sometimes the results are quite striking. For example, “MANY VOTED BUSH RETIRED” is an anagram of “TUESDAY NOVEMBER THIRD,” which correctly predicted the result of the 1992 U.S. presidential election. Design and implement an algorithm for finding anagrams using combinatorial search and a dictionary.",en,,6
general,0,Chapter 9 - The Algorithm Design Manual Solution Wiki,http://54.218.123.211/index.php/Chapter_9,http://54.218.123.211 › index.php › Chapter_9,,7,"Anagrams are rearrangements of the letters of a word or phrase into a different word or phrase. Sometimes the results are quite striking. For example, “MANY VOTED BUSH RETIRED” is an anagram of “TUESDAY NOVEMBER THIRD,” which correctly predicted the result of the 1992 U.S. presidential election. Design and implement an algorithm for finding anagrams using combinatorial search and a dictionary.",en,,7
general,0,算法设计手册第二版第七章课后习题解答| Go语言充电站,http://lessisbetter.site/2015/05/07/Ch7-Exercises-and-Solutions-of-TADM2E/,http://lessisbetter.site › 2015/05/07,,8,"Anagrams are rearrangements of the letters of a word or phrase into a different word or phrase. Sometimes the results are quite striking. For example, “MANY VOTED BUSH RETIRED” is an anagram of “TUESDAY NOVEMBER THIRD,” which correctly predicted the result of the 1992 U.S. presidential election. Design and implement an algorithm for finding anagrams using combinatorial search and a dictionary.",en,,8
general,0,The.Algorithm.Design.Manual.2nd.Edition - UserManual.wiki,https://usermanual.wiki/Document/TheAlgorithmDesignManual2ndEdition.3500905912/help,https://usermanual.wiki › Document › help,,9,"Anagrams are rearrangements of the letters of a word or phrase into a different word or phrase. Sometimes the results are quite striking. For example, “MANY VOTED BUSH RETIRED” is an anagram of “TUESDAY NOVEMBER THIRD,” which correctly predicted the result of the 1992 U.S. presidential election. Design and implement an algorithm for finding anagrams using combinatorial search and a dictionary.",en,,9
type,sub_rank,title,url,cite,details,cmpt_rank,qry,lang,serp_id,serp_rank
general,0,Subgraph isomorphism problem - Wikipedia,https://en.wikipedia.org/wiki/Subgraph_isomorphism_problem,en.wikipedia.org › wiki › Subgraph_isomorphism_pro...,,0,"Design and implement an algorithm for solving the subgraph isomorphism problem. Given graphs G and H, does there exist a subgraph H' of H such that G is isomorphic to H'? How does your program perform on such special cases of subgraph isomorphism as Hamiltonian cycle, clique, independent set, and graph isomorphism?",en,,0
general,0,Proof that Subgraph Isomorphism problem is NP-Complete ...,https://www.geeksforgeeks.org/proof-that-subgraph-isomorphism-problem-is-np-complete/,www.geeksforgeeks.org › proof-that-subgraph-isomorp...,,1,"Design and implement an algorithm for solving the subgraph isomorphism problem. Given graphs G and H, does there exist a subgraph H' of H such that G is isomorphic to H'? How does your program perform on such special cases of subgraph isomorphism as Hamiltonian cycle, clique, independent set, and graph isomorphism?",en,,1
general,0,Solution Set 6,http://users.cms.caltech.edu/~umans/cs21/soln6.pdf,users.cms.caltech.edu › ~umans › soln6,,2,"Design and implement an algorithm for solving the subgraph isomorphism problem. Given graphs G and H, does there exist a subgraph H' of H such that G is isomorphic to H'? How does your program perform on such special cases of subgraph isomorphism as Hamiltonian cycle, clique, independent set, and graph isomorphism?",en,,2
general,0,1 Subgraph Isomorphism - Stanford CS Theory,http://theory.stanford.edu/~virgi/cs267/lecture1.pdf,theory.stanford.edu › ~virgi › lecture1,,3,"Design and implement an algorithm for solving the subgraph isomorphism problem. Given graphs G and H, does there exist a subgraph H' of H such that G is isomorphic to H'? How does your program perform on such special cases of subgraph isomorphism as Hamiltonian cycle, clique, independent set, and graph isomorphism?",en,,3
